one,two,index,text,raw_text,start_time,end_time,speaker_id,speaker_name
0,0,0,So my goal with Stem education at.,So my goal with Stem education at.,1.77,3.966,0,Luis Chavez
0,1,1,This point would be to incorporate it.,This point would be to incorporate it.,3.988,5.566,1,Luis Chavez
0,2,2,Into the science lab.,Into the science lab.,5.588,6.702,0,Luis Chavez
0,3,3,"I currently see 3rd, fourth and fifth graders at my elementary school and they.","I currently see 3rd, fourth and fifth graders at my elementary school and they.",6.756,11.886,1,Luis Chavez
0,4,4,Come in for hands on science lessons.,Come in for hands on science lessons.,11.908,13.594,0,Luis Chavez
0,5,5,And I see that this would be.,And I see that this would be.,13.642,15.646,0,Luis Chavez
0,6,6,A great opportunity to make sure that NGSS standards are covered with the Vex program.,A great opportunity to make sure that NGSS standards are covered with the Vex program.,15.668,21.358,1,Luis Chavez
0,7,7,So that is what I am looking.,So that is what I am looking.,21.444,22.782,0,Luis Chavez
0,8,8,Forward to at this point and growing.,Forward to at this point and growing.,22.836,25.506,1,Luis Chavez
0,9,9,"In that area, as well as making.","In that area, as well as making.",25.538,28.902,0,Luis Chavez
0,10,10,Sure we are able to incorporate it.,Sure we are able to incorporate it.,28.956,30.886,1,Luis Chavez
0,11,11,School wide in the near future.,School wide in the near future.,30.908,33.0,0,Luis Chavez
0,12,12,If you can give your name and school.,If you can give your name and school.,34.01,36.598,2,JM
0,13,13,"Oh, yes.","Oh, yes.",36.684,37.19,0,Luis Chavez
0,14,14,"Luis Chavez, science teacher at Montague Charter Academy from Pacoima, California.","Luis Chavez, science teacher at Montague Charter Academy from Pacoima, California.",37.26,43.29,1,Luis Chavez
0,15,15,Cool.,Cool.,43.87,44.62,3,
0,16,16,And also we missed the first slide.,And also we missed the first slide.,45.95,48.214,2,JM
0,17,17,So what's your level two data experience with Vex?,So what's your level two data experience with Vex?,48.262,51.746,2,JM
0,18,18,Are you just starting out or you.,Are you just starting out or you.,51.798,53.086,2,JM
0,19,19,Have I started with Vex in 2019.,Have I started with Vex in 2019.,53.108,56.522,0,Luis Chavez
0,20,20,"Took a break and came back for this current season with Vex IQ, and we have had a couple of our teams actually qualify at the state.","Took a break and came back for this current season with Vex IQ, and we have had a couple of our teams actually qualify at the state.",56.586,66.96,1,Luis Chavez
0,21,21,What age group?,What age group?,67.73,68.96,2,JM
0,22,22,14Th graders.,14Th graders.,69.73,70.954,1,Luis Chavez
0,23,23,Cool.,Cool.,71.002,71.406,3,
0,24,24,Awesome.,Awesome.,71.508,72.16,3,
0,25,25,One of the challenges so far would.,One of the challenges so far would.,105.73,107.854,0,Luis Chavez
0,26,26,"Be the engineering notebook component and getting students more involved in that process, making sure we start that engineering design process correctly from the very beginning.","Be the engineering notebook component and getting students more involved in that process, making sure we start that engineering design process correctly from the very beginning.",107.892,119.89,1,Luis Chavez
0,27,27,I would say that's what I need.,I would say that's what I need.,120.39,121.714,0,Luis Chavez
0,28,28,"More support on, as well as the teacher development component for the teachers at my school, because we do want to bring it back and expand on it across the grade levels.","More support on, as well as the teacher development component for the teachers at my school, because we do want to bring it back and expand on it across the grade levels.",121.752,134.87,1,Luis Chavez
0,29,29,So hopefully that's that's a great question.,So hopefully that's that's a great question.,137.13,166.35,1,Luis Chavez
0,30,30,What could what could we do to.,What could what could we do to.,166.42,167.746,0,Luis Chavez
0,31,31,Make Becks a lot easier?,Make Becks a lot easier?,167.768,170.45,1,Luis Chavez
0,32,32,Maybe seeing some more hands on videos from teachers starting Vex as well as.,Maybe seeing some more hands on videos from teachers starting Vex as well as.,171.03,178.84,1,Luis Chavez
0,33,33,Videos of those students who are starting the process and then maybe relating some of the challenges that they have run into and sharing those with us.,Videos of those students who are starting the process and then maybe relating some of the challenges that they have run into and sharing those with us.,179.21,192.12,0,Luis Chavez
0,34,34,One of my questions would be is.,One of my questions would be is.,233.61,235.046,0,Luis Chavez
0,35,35,"There a way to incorporate one, two, three Vex goal and IQ?","There a way to incorporate one, two, three Vex goal and IQ?",235.068,239.83,1,Luis Chavez
0,36,36,How to connect the three or how to gradually implement them from the lower grades all the way to the upper grades?,How to connect the three or how to gradually implement them from the lower grades all the way to the upper grades?,240.17,248.31,1,Luis Chavez
0,37,37,My success story or one of the successful moments for us definitely has been.,My success story or one of the successful moments for us definitely has been.,283.37,289.722,1,Luis Chavez
0,38,38,Seeing the level of parental involvement in.,Seeing the level of parental involvement in.,289.856,294.234,0,Luis Chavez
0,39,39,Our program at our school.,Our program at our school.,294.272,295.402,1,Luis Chavez
0,40,40,"So that definitely has been one of the highlights for me doing Vex, seeing how involved parents become and how interested they become and the way that the.","So that definitely has been one of the highlights for me doing Vex, seeing how involved parents become and how interested they become and the way that the.",295.456,306.894,0,Luis Chavez
0,41,41,Students explain it to them.,Students explain it to them.,306.932,308.8,1,Luis Chavez
0,42,42,"It's so easy for them to accomplish that component, being able to explain the game to their family members.","It's so easy for them to accomplish that component, being able to explain the game to their family members.",312.13,318.88,0,Luis Chavez
0,43,43,I'm not sure that I've had an.,I'm not sure that I've had an.,373.19,376.134,0,Luis Chavez
0,44,44,Experience like that just yet.,Experience like that just yet.,376.172,378.134,1,Luis Chavez
0,45,45,Everything has some sort of challenge.,Everything has some sort of challenge.,378.252,381.266,1,Luis Chavez
0,46,46,I can't think of one particular one.,I can't think of one particular one.,381.298,382.774,1,Luis Chavez
0,47,47,But definitely in regards to students wanting.,But definitely in regards to students wanting.,382.812,385.906,1,Luis Chavez
0,48,48,"To pursue careers, I can think of.","To pursue careers, I can think of.",385.938,389.98,0,Luis Chavez
0,49,49,Two of our young students who are.,Two of our young students who are.,390.91,394.954,1,Luis Chavez
0,50,50,Looking forward to robotics and coding at the middle school level.,Looking forward to robotics and coding at the middle school level.,394.992,400.302,0,Luis Chavez
0,51,51,They come in during recess and lunch to put in the extra work.,They come in during recess and lunch to put in the extra work.,400.356,405.326,1,Luis Chavez
0,52,52,So that definitely is very rewarding to.,So that definitely is very rewarding to.,405.508,409.614,0,Luis Chavez
0,53,53,See.,See.,409.652,410.24,3,
0,54,54,Thank you so much.,Thank you so much.,438.33,439.35,2,JM
0,55,55,And thank you.,And thank you.,439.42,439.94,0,Luis Chavez
1,0,0,I think what we're I think what we're trying to do at our school is to get more year levels involved in Stem.,I think what we're I think what we're trying to do at our school is to get more year levels involved in Stem.,0.25,7.322,0,Andy Petrie
1,1,1,"Certainly with the robotics, we've got year five and year three.","Certainly with the robotics, we've got year five and year three.",7.386,11.934,0,Andy Petrie
1,2,2,So we're just trying to spread that out a bit more in the junior school.,So we're just trying to spread that out a bit more in the junior school.,12.052,15.04,0,Andy Petrie
1,3,3,"Okay, great.","Okay, great.",16.85,17.582,1,JM
1,4,4,Now that we know what give your name.,Now that we know what give your name.,17.636,19.2,1,JM
1,5,5,Just speak your name now.,Just speak your name now.,19.89,25.014,1,JM
1,6,6,Andy Petrie.,Andy Petrie.,25.172,26.55,0,Andy Petrie
1,7,7,Is that okay?,Is that okay?,26.89,27.974,0,Andy Petrie
1,8,8,Teachers training.,Teachers training.,28.092,28.998,1,JM
1,9,9,You need more professional development.,You need more professional development.,29.084,31.154,1,JM
1,10,10,You need to learn more about something like Python coding or you want to be better at engineering.,You need to learn more about something like Python coding or you want to be better at engineering.,31.202,36.322,1,JM
1,11,11,What is it that you feel if you learned or you did or you need professional development on board?,What is it that you feel if you learned or you did or you need professional development on board?,36.466,41.83,1,JM
1,12,12,We create a resource for you to really take what you are doing to the next level.,We create a resource for you to really take what you are doing to the next level.,41.9,47.26,1,JM
1,13,13,I definitely want to be able to get more understanding behind coding.,I definitely want to be able to get more understanding behind coding.,48.03,53.018,0,Andy Petrie
1,14,14,"I think I can code to a point, but then it's actually the troubleshooting that I struggle most with that would probably be more beneficial than just coding.","I think I can code to a point, but then it's actually the troubleshooting that I struggle most with that would probably be more beneficial than just coding.",53.114,63.558,0,Andy Petrie
1,15,15,Yeah.,Yeah.,63.594,63.842,0,Andy Petrie
1,16,16,Troubleshooting working out what's gone wrong and how to fix it.,Troubleshooting working out what's gone wrong and how to fix it.,63.896,67.78,0,Andy Petrie
1,17,17,Okay.,Okay.,69.51,69.97,1,JM
1,18,18,This question is kind of related to the question I just asked.,This question is kind of related to the question I just asked.,70.04,73.122,1,JM
1,19,19,"If you could change one thing about either Vex or your Stem implementation, what would make your life easier as an educator, what could we provide for you that could really make what you're doing with them a lot easier than what you are currently doing right now?","If you could change one thing about either Vex or your Stem implementation, what would make your life easier as an educator, what could we provide for you that could really make what you're doing with them a lot easier than what you are currently doing right now?",73.256,89.782,1,JM
1,20,20,"Let us know that, please.","Let us know that, please.",89.916,91.35,1,JM
1,21,21,We would love to be able to provide that.,We would love to be able to provide that.,91.42,93.24,1,JM
1,22,22,"I think if Vex could show some links to robotics to general curriculum, I know that it would be difficult to specifically target different countries and their specific curriculum, but if you could do a general, this could link to some English or this good link to some math, that would be really beneficial.","I think if Vex could show some links to robotics to general curriculum, I know that it would be difficult to specifically target different countries and their specific curriculum, but if you could do a general, this could link to some English or this good link to some math, that would be really beneficial.",93.95,115.71,0,Andy Petrie
1,23,23,"All right, thank you for your information.","All right, thank you for your information.",117.33,118.866,1,JM
1,24,24,That's wonderful.,That's wonderful.,118.968,119.838,1,JM
1,25,25,Is there anything else that you want to share with us?,Is there anything else that you want to share with us?,119.934,122.834,1,JM
1,26,26,"Anything that you want to share with us that you think, again, would be valuable feedback that we can take with us back to our offices?","Anything that you want to share with us that you think, again, would be valuable feedback that we can take with us back to our offices?",122.872,130.194,1,JM
1,27,27,"And again, use your feedback to make any of our platforms or Vex tool VR or Vex professionals on the plus, that much better for you.","And again, use your feedback to make any of our platforms or Vex tool VR or Vex professionals on the plus, that much better for you.",130.242,138.054,1,JM
1,28,28,So take this question again to just wax pool headache about anything that you would like.,So take this question again to just wax pool headache about anything that you would like.,138.092,142.726,1,JM
1,29,29,Be honest with us.,Be honest with us.,142.828,143.786,1,JM
1,30,30,Be really honest.,Be really honest.,143.808,144.746,1,JM
1,31,31,Don't be afraid to tell us that something that we have is terrible.,Don't be afraid to tell us that something that we have is terrible.,144.848,147.35,1,JM
1,32,32,Be honest with us and let us know what it is that we can do to improve.,Be honest with us and let us know what it is that we can do to improve.,147.43,152.09,1,JM
1,33,33,"Or if there is something that you really love, you can let us know that also.","Or if there is something that you really love, you can let us know that also.",152.17,156.08,1,JM
1,34,34,I think having the virtual ability to program and see these robots move around really gives the kids that kind of that vision that they can actually do it and have a play around.,I think having the virtual ability to program and see these robots move around really gives the kids that kind of that vision that they can actually do it and have a play around.,156.61,170.594,0,Andy Petrie
1,35,35,And it doesn't matter if the robots are moving the right direction.,And it doesn't matter if the robots are moving the right direction.,170.632,174.21,0,Andy Petrie
1,36,36,"I think I've had struggles with trying to connect kids with Vex and iPads in the past, but I'm not too sure if that's still an issue.","I think I've had struggles with trying to connect kids with Vex and iPads in the past, but I'm not too sure if that's still an issue.",176.07,184.52,0,Andy Petrie
1,37,37,"So if that is an issue, that could be fixed.","So if that is an issue, that could be fixed.",185.05,188.566,0,Andy Petrie
1,38,38,"But generally speaking, there's a lot of great resources available to us from you guys.","But generally speaking, there's a lot of great resources available to us from you guys.",188.758,194.202,0,Andy Petrie
1,39,39,So thank you.,So thank you.,194.256,195.26,0,Andy Petrie
1,40,40,One of the my favorite parts about this job is I get to travel the world and talk to educators all the time.,One of the my favorite parts about this job is I get to travel the world and talk to educators all the time.,198.43,204.062,1,JM
1,41,41,"And I love hearing about the success stories with Vex Robotics, whether it's a parent talking about how their student now is so much more engaged in school as a result of Vex, or a student talking about how much they love engineering now or much they love computer science.","And I love hearing about the success stories with Vex Robotics, whether it's a parent talking about how their student now is so much more engaged in school as a result of Vex, or a student talking about how much they love engineering now or much they love computer science.",204.116,219.598,1,JM
1,42,42,"If you have any of those success stories, whether it's about competition classrooms or books, we would love to hear that.","If you have any of those success stories, whether it's about competition classrooms or books, we would love to hear that.",219.694,226.886,1,JM
1,43,43,So please share that with us.,So please share that with us.,226.908,228.76,1,JM
1,44,44,"I'm extremely grateful to be here, and the only reason I'm here is because the team that came from the school that I'm from, they didn't win their area that they were in the national championships in Australia.","I'm extremely grateful to be here, and the only reason I'm here is because the team that came from the school that I'm from, they didn't win their area that they were in the national championships in Australia.",230.33,247.29,0,Andy Petrie
1,45,45,Their robot kept failing.,Their robot kept failing.,248.99,250.806,0,Andy Petrie
1,46,46,"The reason that they got through was because they were able to articulate clearly exactly what they were trying to do, how they were trying to fix it.","The reason that they got through was because they were able to articulate clearly exactly what they were trying to do, how they were trying to fix it.",250.998,259.95,0,Andy Petrie
1,47,47,And it's a brilliant story to pass on to those children who and adults who think that you have to be uber successful at something to get to this sort of environment.,And it's a brilliant story to pass on to those children who and adults who think that you have to be uber successful at something to get to this sort of environment.,260.02,271.97,0,Andy Petrie
1,48,48,"They were brilliant, but their robot just didn't work for whatever reason, didn't do all it needed to do.","They were brilliant, but their robot just didn't work for whatever reason, didn't do all it needed to do.",272.39,278.454,0,Andy Petrie
1,49,49,"But the reason they got here was because, as I said, they were able to explain everything that they were doing and just kept persisting, showed resilience, and I think it's a fantastic story.","But the reason they got here was because, as I said, they were able to explain everything that they were doing and just kept persisting, showed resilience, and I think it's a fantastic story.",278.492,289.26,0,Andy Petrie
